Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.00,1000,70000,17500.00,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.00,900,22500,7875.00,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.00,900,31500,11025.00,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.00,700,24500,8575.00,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.00,700,24500,11025.00,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.00,550,22000,6600.00,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.00,700,24500,12250.00,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.00,850,21250,7437.50,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.00,850,29750,10412.50,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.00,675,23625,8268.75,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.00,625,21875,9843.75,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.00,500,20000,6000.00,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.00,700,24500,12250.00,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.00,875,26250,9187.50,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.00,875,35000,12250.00,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.00,700,24500,8575.00,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.00,600,24000,10800.00,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.00,500,22500,6750.00,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.00,650,26000,13000.00,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.00,900,27000,9450.00,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.00,900,36000,12600.00,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.00,725,25375,8881.25,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.00,625,25000,11250.00,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.00,525,23625,7087.50,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.00,800,32000,16000.00,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.00,925,27750,9712.50,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.00,925,37000,12950.00,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.00,775,27125,9493.75,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.00,700,28000,12600.00,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.00,600,27000,8100.00,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.00,950,38000,19000.00,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.00,950,38000,13300.00,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.00,950,42750,14962.50,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.00,800,32000,11200.00,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.00,750,30000,13500.00,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.00,650,29250,8775.00,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.00,1000,50000,25000.00,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.00,950,38000,13300.00,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.00,950,42750,14962.50,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.00,1100,44000,15400.00,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.00,700,28000,12600.00,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.00,700,31500,9450.00,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.00,975,48750,24375.00,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.00,925,37000,12950.00,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.00,925,41625,14568.75,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.00,1100,44000,15400.00,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.00,650,26000,11700.00,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.00,650,29250,8775.00,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.00,900,45000,22500.00,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.00,850,38250,13387.50,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.00,850,38250,13387.50,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.00,900,45000,15750.00,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.00,625,31250,14062.50,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.00,625,28125,8437.50,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.00,850,46750,23375.00,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.00,800,36000,12600.00,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.00,800,36000,12600.00,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.00,750,37500,13125.00,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.00,600,30000,13500.00,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.00,575,25875,7762.50,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.00,750,41250,20625.00,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.00,900,40500,14175.00,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.00,900,40500,14175.00,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.00,825,41250,14437.50,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.00,675,33750,15187.50,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.00,650,29250,8775.00,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.00,850,46750,23375.00,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.00,950,42750,14962.50,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.00,950,42750,14962.50,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.00,850,42500,14875.00,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.00,700,35000,15750.00,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.00,650,29250,8775.00,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.00,900,49500,24750.00,Outlet
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.00,775,31000,10850.00,Outlet
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.00,775,38750,7750.00,Outlet
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.00,775,38750,13562.50,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.00,625,31250,9375.00,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.00,575,31625,15812.50,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.00,775,38750,5812.50,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.00,825,33000,11550.00,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.00,725,36250,7250.00,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.00,725,36250,12687.50,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.00,575,28750,8625.00,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55.00,500,27500,13750.00,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50.00,700,35000,5250.00,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.00,850,42500,14875.00,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.00,700,42000,8400.00,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.00,700,42000,14700.00,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.00,600,36000,10800.00,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65.00,500,32500,16250.00,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60.00,700,42000,6300.00,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.00,875,52500,18375.00,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.00,675,43875,8775.00,Outlet
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.00,725,47125,16493.75,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.00,625,37500,11250.00,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65.00,525,34125,17062.50,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80.00,700,56000,8400.00,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.00,900,54000,21600.00,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.00,750,48750,12187.50,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.00,750,48750,19500.00,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.00,650,39000,13650.00,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65.00,550,35750,19662.50,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80.00,725,58000,11600.00,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.00,975,58500,23400.00,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.00,825,53625,13406.25,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.00,825,53625,21450.00,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.00,700,42000,14700.00,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65.00,575,37375,20556.25,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80.00,875,70000,14000.00,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.00,1025,61500,21525.00,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.00,875,56875,11375.00,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.00,825,53625,18768.75,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.00,725,43500,13050.00,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65.00,775,50375,25187.50,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80.00,775,62000,9300.00,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.00,975,63375,22181.25,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.00,925,64750,12950.00,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.00,800,52000,18200.00,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.00,750,48750,14625.00,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75.00,750,56250,28125.00,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80.00,725,58000,8700.00,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.00,925,50875,15262.50,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.00,925,55500,8325.00,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.00,775,42625,12787.50,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.00,725,39875,9968.75,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65.00,725,47125,21206.25,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70.00,775,54250,5425.00,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.00,875,48125,14437.50,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.00,875,52500,7875.00,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.00,700,38500,11550.00,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.00,675,37125,9281.25,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65.00,650,42250,19012.50,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70.00,700,49000,4900.00,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.00,875,48125,14437.50,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.00,875,52500,7875.00,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.00,725,39875,11962.50,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.00,700,38500,9625.00,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,65.00,650,42250,19012.50,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,70.00,775,54250,5425.00,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.00,975,53625,16087.50,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.00,975,58500,8775.00,Outlet
West Gear,1128299,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.00,775,42625,12787.50,Outlet
West Gear,1128299,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.00,775,42625,10656.25,Outlet
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,65.00,700,45500,20475.00,Outlet
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Apparel,70.00,800,56000,5600.00,Outlet
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.00,700,24500,9800.00,Outlet
Kohl's,1189833,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45.00,700,31500,7875.00,Outlet
Kohl's,1189833,2021-03-09,West,California,San Francisco,Women's Street Footwear,45.00,700,31500,12600.00,Outlet
Kohl's,1189833,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45.00,550,24750,8662.50,Outlet
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,50.00,500,25000,13750.00,Outlet
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,45.00,700,31500,6300.00,Outlet
Kohl's,1189833,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35.00,750,26250,10500.00,Outlet
Kohl's,1189833,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,45.00,650,29250,7312.50,Outlet
Kohl's,1189833,2021-03-15,West,California,Los Angeles,Women's Street Footwear,45.00,675,30375,12150.00,Outlet
Kohl's,1189833,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,45.00,525,23625,8268.75,Outlet
Kohl's,1189833,2021-03-17,West,California,Los Angeles,Men's Apparel,50.00,450,22500,12375.00,Outlet
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,45.00,650,29250,5850.00,Outlet
Kohl's,1189833,2021-03-19,West,California,Los Angeles,Men's Street Footwear,35.00,800,28000,11200.00,Outlet
Kohl's,1189833,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,45.00,650,29250,7312.50,Outlet
Kohl's,1189833,2021-03-21,West,California,Los Angeles,Women's Street Footwear,45.00,650,29250,11700.00,Outlet
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,45.00,550,24750,8662.50,Outlet
Kohl's,1189833,2021-03-23,West,California,Los Angeles,Men's Apparel,50.00,425,21250,11687.50,Outlet
Kohl's,1189833,2021-04-06,West,California,Los Angeles,Women's Apparel,45.00,625,28125,5625.00,Outlet
Kohl's,1189833,2021-04-07,West,California,Los Angeles,Men's Street Footwear,45.00,800,36000,14400.00,Outlet
Kohl's,1189833,2021-04-08,West,California,Los Angeles,Men's Athletic Footwear,50.00,600,30000,7500.00,Outlet
Kohl's,1189833,2021-04-09,West,California,Los Angeles,Women's Street Footwear,50.00,625,31250,12500.00,Outlet
Kohl's,1189833,2021-04-10,West,California,Los Angeles,Women's Athletic Footwear,45.00,525,23625,8268.75,Outlet
Kohl's,1189833,2021-04-11,West,California,Los Angeles,Men's Apparel,50.00,425,21250,11687.50,Outlet
Kohl's,1189833,2021-04-12,West,California,Los Angeles,Women's Apparel,65.00,600,39000,7800.00,Outlet
Kohl's,1189833,2021-04-13,West,California,Los Angeles,Men's Street Footwear,45.00,800,36000,14400.00,Outlet
Kohl's,1189833,2021-04-14,West,California,Los Angeles,Men's Athletic Footwear,50.00,650,32500,8125.00,Outlet
Kohl's,1189833,2021-04-15,West,California,Los Angeles,Women's Street Footwear,50.00,650,32500,13000.00,Outlet
Kohl's,1189833,2021-04-16,West,California,Los Angeles,Women's Athletic Footwear,45.00,550,24750,8662.50,Outlet
Kohl's,1189833,2021-04-17,West,California,Los Angeles,Men's Apparel,50.00,450,22500,12375.00,Outlet
Kohl's,1189833,2021-04-18,West,California,Los Angeles,Women's Apparel,65.00,625,40625,8125.00,Outlet
Kohl's,1189833,2021-04-19,West,California,Los Angeles,Men's Street Footwear,45.00,900,40500,16200.00,Outlet
Kohl's,1189833,2021-04-20,West,California,Los Angeles,Men's Athletic Footwear,50.00,750,37500,9375.00,Outlet
Kohl's,1189833,2021-04-21,West,California,Los Angeles,Women's Street Footwear,50.00,750,37500,15000.00,Outlet
Kohl's,1189833,2021-04-22,West,California,Los Angeles,Women's Athletic Footwear,45.00,625,28125,9843.75,Outlet
